噶哈巫語,華語
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
kaidini nahaza udan.,「這裡有雨。」
ohoni ini mudan.,「現在沒下雨。」
mituku lia.,「坐了。」
kaidini nahaza aitukuan.,「在這裡有椅子。」
ita ka tatawan a saw.,「咱們是台灣人。」
yaku meken dadas lia.,「我吃番薯了。」
zuzut’i saaken iu sumay na.,「請裝菜、裝飯！」
mikita babizu muuput lia.,「看完書了。」
yaku muuput a siisinaw siatu lia.,「我洗完衣服了。」
alo meken sumay!,「來吃飯！」
alo mudok taating a inusat!,「來喝一點酒！」
yaku ini musinaw kaaw.,「我沒洗腳。」
imisiw talima pakamuaping.,「他自己弄破。」
pakaasikit liaki yaku a kaaw.,「讓我的腳痛了。」
paka nita umu maziah.,「讓咱們的粿熟。」
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩」
paka isiw mahabay taating,「給你較好。」
paka bauzak meken.,「讓豬吃。」
aba mututing akhéhén.,「爸爸打小孩。」
tuting’en naki liaki wazu.,「狗被我打了。」
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來。」
azem haka kaidi xasep adang ilas iu xasep isit a daali haki yami kaxabu a azem.,「我們噶哈巫的過年是在十一月十五日。」
pakahalupat’ina!,「請長一點！」
pakamaziah’i!,「使熟！」
seket’i taating hann!,「休息一下下！」
isiw a pai suzuk’i!,「你的錢藏起來！」
imini ka yaku a ina.,「這是我的母親。」
imisiw ka yaku a aba.,「那是我的父親。」
nisiw a pai haaput mubaxa ima?,「你的錢要給誰？」
isiw ka mudok axay?,「你在喝什麼？」
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」
"yami a aba, ina, apuapu kaidini malaleng.",「我們的父親、母親、曾祖父母在這裡居住。」
"yaku ka kaidini mituku, imu ka kaidisiw maahadas.",「我在這裡坐，他們在那裡玩。」
yaku talima kaidi humak eezaw.,「我自己在家而已。」
"dahu a paipai kaidi daan, hazian a saanu muzakay.",「在路上很多車，很不好走。」
imini a wazu ka saanu imisiw mututing.,「這狗被他打。」
inusat saanu saw mabusuk.,「酒讓人醉。」
yaku maa pai saanu isiw.,「我拿錢給你。」
yaku saanu tatoko mututing wazu.,「我用拐杖打狗。」
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩！」
yaku maki isiw kaidini palizak.,「我跟你在這裡曬太陽。」
yaku maki mama mukusa binayu.,「我和哥哥去山上。」
yaku iu mama mukusa binayu.,「我和哥哥去山上。」
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」
alo maki yami meken!,「來跟我們吃！」
nang a maki isiw mukawas.,「不要跟你講話。」
imini a ahan ka mades ini mukawat.,「這話很久沒說。」
"imisiw a akhéhén mamais, ukut muaping lia.",「那個女孩，褲子破掉了。」
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」
kaidisiw a balan muzakay.,「在那裡的貓在走路。」
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」
ana monosu!,「別那樣！」
"ohoni a saw, dahu a hazian a saw haé.",「現在的人，很多壞人呀！」
ohoza a saw haaput mukusa binayu.,「以前的人喜歡去山上。」
mikita azang a titay.,「看到一隻老鼠。」
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」
yami a humak daadalum tuu a bauzak.,「我們家養三隻豬。」
yami dusa ka hakezeng a saw.,「我們兩個是老人。」
ita tuu ka tatawan a saw.,「咱們三個是臺灣人。」
alia haaput midem lia.,「差不多要睡了。」
alia lia.,「差不多了。」
"apu ka ini tahayak, mituku eezaw.",「阿公不累，坐著而已。」
imini eezaw lia.,「這樣而已了。」
adade eezaw.,「一個而已。」
imini a kazo tuxubut azawzaw.,「這桃子非常甜。」
ana maahan azawzaw hann.,「別亂騙人。」
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
imini ka uzay yaku a beleben.,「這不是我的香蕉。」
yaku ini meken sumay.,「我沒有吃飯。」
ana mukusa!,「別去！」
yaku mayaw meken.,「我還沒吃。」
kuang a udan lia.,「沒有雨了。」
yaku a aba ka nang a musinaw yaku a siatu.,「我的爸爸不要洗我的衣服。」
akhéhén mamek axaxay.,「小孩什麼都不懂。」
yaku ka mineken lia.,「我吃完了。」
yaku a suazi mudawan ka maida.,「我的弟弟洗澡很快。」
yaku ka kaxabu a saw.,「我是噶哈巫人。」
yaku ka meken sumay.,「我在吃飯。」
imini ka uzay yaku a beleben.,「這不是我的香蕉。」
yaku a aba ka maida a muzakay.,「我的爸爸走路很快。」
yaku a apu madiak a muzakay.,「我的祖父走路很慢。」
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」
isiw ka haaput meken dadas iu dukun?,「你是要吃番薯還是芋頭？」
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我要去好，還是不要去好？」
"ohoni mudan liaka yaku nang a mukusa mikita umama, iu nang a mukusa maahadas.",「現在下雨了，我不想去看田，也不想去玩。」
"imini a saw dahu a pai, kulaka ini mahabay a hinis.",「這個人很有錢，但是不快樂。」
"ohoni liaka nahaza dalum kula, kuang a alaw lia.",「現在雖然有水，但沒有魚了。」
anani!,「唉唷！」
anani kuadeng!,「唉唷喂呀！」
alasay!,「好險！」
"masu wazu mukusa binayu mungazip bauzak, ilis haki niam a apuapu.",「我們的祖先會帶狗去山上咬豬、羊。」
mungazip yaku haki wazu.,「狗咬我。」
mataw a mulaliw liaka mauit liaki humak.,「大地震（發生後），房子就倒了。」
mupayak liaki yaku a siatu.,「我的衣服濕了。」
muasak liaki laladan.,「桌子壞掉了。」
mututing yaku haki atun.,「Atun 打我。」
tuting’en ni aba lia.,「被爸爸打了。」
yami a eten nahaza tuu a atun.,「我們的村莊有三個 Atun。」
yami sianglukus malaleng kaidi abaxan.,「我們守城（的人）住在北邊。」
"baisia a eten, kaidi ahut.",「牛眠庄在西邊。」
yami ka kaidi daya mupuza.,「我從比較高的、東邊來的。」
yaku haaput mukusa masulohong maahadas.,「我想去中國玩。」
isiw ka yaku a dakan.,「你在我的前面。」
isiw ka yaku a aubin.,「你在我的後面。」
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」
kalikut ka kaidi amihan.,「大湳在南邊。」
taumin ka daya taating.,「蜈蚣崙東邊一些。」
dadas kaidi umama.,「番薯在田裡。」
yaku maki mama mukusa binayu.,「我跟哥哥去山上。」
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」
sasunan ka atun mukusa umama.,「早上阿敦有去田裡。」
ahuan ka dahu a saw haaput mudawan.,「晚上很多人要洗澡。」
"ohoza ka kuang a saanu mukukusa, paxuma mulasi eezaw.",「以前沒有什麼工作，種稻子而已。」
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
kaidi meseket a daali mukusa ahong maa alaw.,「在休息的日子去溪裡抓魚。」
pasaken daalian liaka mupuza humak meken sumay lia.,「到中午之後回家吃飯了。」
"imini dusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」
imisiw a saw tangiti lia.,「那個人生氣了。」
mainu a iing ka haaput midem.,「腰痠就要睡覺。」
mamuduk a kaaw lia. nang a muzakay lia.,「腳很腫了，不要走路了。」
dahu a paipai kaidi daan.,「很多車在路上。」
mausay maa taating a dalum.,「去拿一些水。」
yaku ka nahaza tuu a bauzak.,「我有三隻豬。」
imini ka yaku a siatu.,「這是我的衣服。」
imini ka imisiw a beleben.,「這是他的香蕉。」
ita ka tatawan a saw.,「咱們是台灣人。」
binayu nahaza binayu a bauzak.,「山上有山豬。」
paxuma dalum a ali eezaw lia.,「（現在只有）種水筍而已了。」
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」
ohoza saanu muzakay a daan tatiting eezaw.,「以前道路，小小的而已。」
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」
kaidisiw a balan muzakay.,「在那裡的貓在走。」
yami dusa ka hakezeng a saw.,「我們兩個是老人。」
ita tuu ka tatawan a saw.,「咱們三人是臺灣人。」
imu dusa mikita iak liaka iak lia.,「你們兩個如果看好就好了。」
mudan a daali ka yaku nang a mukusa maahadas.,「下雨的時候我不要去玩。」
kaidi meseket a daali mukusa axung maa alaw.,「在休息的日子去溪裡抓魚。」
mubaza matoway a saw mutahan dahu a pai haé.,「會唱歌的人賺很多錢呢。」
imini ka miadua a saw a beleben.,「這是那邊的人的香蕉。」
imisiw a akhéhan a siatu mupayak lia.,「那個小孩的衣服濕了。」
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一點豬肉去我朋友家。」
kaidini nahaza adade a lubahing a tulala.,「這裡有一朵紅花。」
"uzay pato ohoni dahu a mataw a dalum, kuang a alaw saanu mukumuk.",「不像現在很多大的水，沒有魚可以抓。」
musamian dahu a binayu a apuapu iu kaidi axung a apuapu.,「拜很多山上的祖先以及溪裡的祖先。」
imini a akhéhén mamais iak a hinis.,「這女孩心地很好。」
yaku dahu a suazi mamais.,「我很多妹妹。」
baba atun mukusa binayu mukukusa.,「Atun 伯伯去山上工作。」
tata sabong ka mukusa mataw a axung maa alaw.,「Sabong 阿姨去大溪抓魚。」
dahu a angat sabong.,「很多 Sabong 的名字。」
dahu a sabong a langat.,「很多 Sabong 的名字。」
imini ka yaku mubaiw a beleben.,「這是我買的香蕉。」
imisiw ka yaku a apu paxuma a kixiw.,「那是我祖母種的苧麻。」
ita ka tatawan a saw.,「我們是台灣人。」
yami dusa ka hakezeng a saw.,「我們兩個是老人。」
imisiw ka yaku a ina.,「她是我的母親。」
imisiw ka yaku a aba.,「他是我的父親。」
imisiw ka yaku a aba.,「那是我的爸爸。／他是我的爸爸。」
imini ka yaku a batan.,「這是我的朋友。／他是我的朋友。」
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」
"yaku ka kaidini mutuku, imu ka kaidisiw maahadas.",「我在這裡玩，他們在那裡玩。」
imu ka utakay a saw.,「他們是客家人。」
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」
imisiw ka mupuza kaidini maahadas.,「他（們）來這邊玩。」
imisiw ka mausay humak lia.,「他（們）要回家了。」
yaku saisiman isiw.,「我疼你。」
isiw saisiman yaku.,「你疼我。」
yaku ka mamaneng a saw.,「我是男人。」
isiw ka mausay tshay?,「你要去哪裡？」
imisiw adade mukusa mataw eten.,「他自己去街上。」
ita ka tatawan a saw.,「咱們是台灣人。」
yami dusa ka hakezeng a saw.,「我們兩個是老人。」
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」
imu ka utakay a saw.,「他們是客家人。」
mahabay ki yaku.,「我很舒服。」
nang a musapoh daxe haki yaku.,「我不要掃地板。」
iak a lama ki isiw.,「你真好命。」
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」
iak a saanu mitun haki ita.,「咱們該起來了！」
paka yaku matahatan haki imu.,「你們讓我很快樂。」
saw haaput mahatan yaku.,「人愛笑我。」
yaku haaput isiw.,「我愛你。」
pakatangiti ita haki taumala.,「政府讓咱們生氣。」
nita a takat mupuza kiikita yami.,「我們的老師來看我們。」
mungazip yaku haki wazu.,「狗咬我。」
mututing yaku haki atun.,「Atun 打我。」
sinaw’en naki lia.,「被我洗了。」
salaman maa’en naki lia.,「碗被我拿了。」
isiw a mizazuk a dalum dok’en yaku lia.,「你的水被我喝了。」
muaxay ki nisiw a akhéhén mangit hann?,「為什麼你的小孩在哭？」
tuting’en yaku hann.,「被我打了。」
imini a wazu ka saanu imisiw mututing.,「這隻狗被他打。」
nisiw a dalum saana yaku mudok lia.,「你的水被我喝了。」
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」
imini ka nisiw a tatoko.,「這是你的拐杖。」
imini ka nita a beleben.,「這是我們的香蕉。」
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」
imini ka naki a siatu.,「這是我的衣服。」
imini ka yaku a siatu.,「這是我的衣服。」
mupuza siw say?,「你來了嗎？」
yaku mausay nisiw a humak.,「我要去你那裡。」（我要去你家）
isiw mupuza yaku a humak.,「你來我這裡。」（你來我的家）
yaku a aba mututing yaku.,「我的爸爸打我。」
imini ka isiw a beleben say?,「這是你的香蕉嗎？」
imini ka imisiw a wazu.,「這是他的狗。」
imini ka yami a beleben.,「這是我們的香蕉。」
imini a dukun ka yaku a dukun.,「這芋頭是我的芋頭。」
imini ka dukun.,「這是芋頭。」
imini ka yaku a siatu.,「這是我的衣服。」
imisiw ka dadas.,「那是番薯。」
imisiw ka yaku a wazu.,「那是我的狗。」
imini a akhéhén ka alia makuala lia.,「這個小孩快跌倒了。」
imisiw a saw tangiti lia.,「那個人生氣了。」
imisia a akhéhén mamais ka nang a talima malaleng.,「那個女孩不想自己住。」
usa sinaw’ina!,「請去洗！」
pakamaziah’i!,「讓（它）熟！」
yaku ini meken dadas.,「我沒吃番薯。」
yaku ini mahabay.,「我不舒服。」
ana mukusa!,「別去！」
ana mahuik!,「別那麼懶惰！」
pakahalipit’ina!,「請薄一點！」
yaku kalamik’en lia.,「我受寒了。」
pazakay’ina!,「請讓（他）走！」
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到了。」
maakuat azawzaw lia.,「隨便亂講了。」
yaku maakux azawzaw.,「我非常熱。」
mudan lia.,「下雨了。」
kaidisiw a balan muzakay.,「在那裡的貓走。」
yaku mudawan muuput lia.,「我洗澡洗好了。」
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」
balan mukumuk titay.,「貓抓老鼠。」
imisiw ka mututing wazu.,「他打狗。」
yaku mubaxa isiw pai.,「我給你錢。」
yaku meken lia.,「我吃了。」
yaku meken dadas lia.,「我吃番薯了。」
pakamataw’ina!,「請讓（它）大一點！」
pakahalupat’ina!,「請讓（它）長一點！」
pakalalima’ina!,「請讓（它）便宜一點！」
yaku ka ini makuit.,「我沒有瘦。」
kahuy ka ini halupat.,「樹不長。」
ini asikit sasay’en a mutapik imini?,「沒有痛怎麼貼這個？」
isiw mausay humak ana maida!,「你回家別那麼快！」
pakahatiken’ina! ana halupas!,「請短一點！別那麼長！」
ana baget isiw hann!,「你別那麼胖哦！」
mainu azawzaw.,「非常酸。」
halupat azawzaw.,「非常長。」
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」
tapulu madiak yami a kaxabu.,「漢人討厭我們噶哈巫。」
imini ka muula maisat imisiw.,「他先罵他。」
isiw haaput tulala bo?,「你想要花嗎？」
yaku kalamik’en lia.,「我受寒了。」
yaku ohoni kamaakux’en lia.,「我今天熱到了。」
imini a saw kabusukan lia.,「這個人酒醉了」
mituku lia.,「坐了。」
usa midem!,「去睡！」
idem’ina!,「請睡！」
mukusa binayu madu tilikas.,「去山上放陷阱。」
isiw a pai adu’i iak hann.,「你的錢放好哦！」
ohoni ini mudan.,「今天沒下雨。」
ohoni ka kuang a udan.,「今天沒有雨。」
mungazip yaku haki wazu.,「狗咬我。」
mututing yaku haki atun.,「Atun 打我。」
yaku mudok isiw a mizazuk a dalum.,「我喝你的水。」
yaku mukusa musapoh daan.,「我去掃馬路。」
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」
salaman maa’en naki lia.,「碗被我拿走了。」
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」
tuting’en ni aba lia.,「被父親打了。」
tuting’en saw lia.,「被人打了。」
sinaw’en naki lia.,「被我洗了。」
doko’en saw lia.,「被人舉走了。」
mudok’en saw lia.,「被人喝了。」
maa’en liaki salaman.,「碗被（我）拿走了。」
ngazip’en lia.,「被咬了。」
sakaw’en lia.,「被偷了。」
imini a wazu saanu imisiw mututing.,「這隻狗被他打。」
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」
nisiw a saabazu aitanana!,「你的肥皂請給我！」
muasak liaki aitukuan.,「椅子壞掉了。」
imini ka saanu siisinaw buxu.,「這用來洗身體。」
yaku nahaza tuu a saanu biibizu.,「我有三枝用來寫的。」
isiw ka nahaza saanu mutapok a ahan a lalawa bo?,「你有用來摀嘴的布（口罩）嗎？」
aba mututing akhéhén.,「父親打小孩。」
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到。」
maudanay lia.,「要下雨了。」
mudan lia.,「下雨了。」
pasakenay lia.,「將要到了。」
pasaken lia.,「到了。」
alia mudan lia.,「要下雨了。」
imini a akhéhan ka alia makuala lia.,「這個小孩要跌倒了。」
alia maziah lia.,「要熟了。」
alia makait lia.,「要乾了。」
alia lia.,「差不多了。」
alia mausay lia.,「（我）差不多要去了。」
alia pasakenay lia.,「差不多要到了。」
alia haaput midem lia.,「（我）差不多要睡了。」
"kaidi tshay a teehen a uung lia, alia haaput mudan lia.",「在某處雲很黑了，差不多要下雨了。」
mainu a iing ka haaput midem.,「腰痠就要休息。」
saw haaput mahatan yaku.,「人愛笑我。」
yaku haaput isiw.,「我愛你。」
haaput mudan lia.,「要下雨了。」
haaput mupuza lia.,「要來了。」
haaput mudawan.,「要洗澡。」
haaput mudan lia.,「要下雨了。」
yaku a aba mayaw meneken.,「我的父親還沒吃完。」
yaku meken dadas lia.,「我吃番薯了。」
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」
tuting’en nisiw a aba lia.,「被你父親打了。」
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」
yaku a aba meneken lia.,「我的父親吃完了。」
meneken liaki yaku.,「我吃完了。」
yaku haaput midem lia.,「我想要睡了。」
yaku mausay humak lia.,「我要回家了。」
mudan lia.,「下雨了。」
mabusuk lia.,「醉了。」
tia lia.,「走了。」
mudawan muuput lia.,「（我）洗完澡了。」
muuput a mudawan lia.,「（我）洗完澡了。」
yaku a aba mukukusa iak lia.,「我的父親工作好了。」
musinaw iak liaka mausay palizak a lizak lia.,「洗好然後要去曬太陽了。」
mudawan iak lia iu mayaw?,「洗好了還是還沒？」
yaku a apu mudawan iak lia.,「我的祖父洗澡洗好了。」
yaku kiikita babizu.,「我正在看書。」
yaku haaput mikita isiw.,「我想要看你。」
yaku deedepex.,「我在讀書。」
yaku a aba masu yaku mukusa medepex.,「我的爸爸帶我去讀書。」
yaku a ina taatalek a saaken.,「我的母親正在煮菜。」
yaku mausay mutalek a sumay.,「我要去煮飯。」
kaidisiw tuutuun hapuy haka yaku a suazi mamais.,「在那邊正在起火的人就是我的妹妹。」
isiw a apu ka duila tshay?,「你的祖父去哪裡？」
kaidi angasat maidem.,「在床上睡覺。」
atun midem mades lia.,「Atun 睡很久了。」
yaku maituku kaidini.,「我正坐在這裡。」
yaku mituku kaidini.,「我坐在這裡。」
paihélut lia.,「在尿尿了。」
péhélut iak liaka haaput musinaw ima.,「尿尿之後要洗手。」
maudan lia.,「正在下雨了。」
mudan lia.,「下雨了。」
yaku ohoni kiikita babizu.,「我現在在看書。」
yaku ohoni meken sumay.,「我現在在吃飯。」
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」
usa mikita nuang hann!,「去看牛喔！」
usa aai tadaw hann!,「去拿刀喔！」
yaku mukusa mikita atun.,「我去看 Atun。」
dawan’i na!,「請洗澡！」
zakay’i na!,「請走路！」
taxa’i yaku na!,「請等我一下呀！」
sapik’i iu!,「貼藥！」
usa sinaw’i naki a siatu na!,「請去洗我的衣服！」
zuzut’i saaken iu sumay na!,「請裝菜和飯！」
sinaw’i siatu!,「洗衣服！」
sinaw’i siatu na!,「請洗衣服！」
isiw a pai suzuk’i!,「你的錢藏起來！」
isiw meken dahu hann!,「你要吃多一點喔！」
alo tumala’ina!,「請來聽！」
alo sazek’ina!,「請來聞！」
huailo midem!,「快睡！」
huailo meken!,「快吃！」
isiw pakinakaw!,「你慢慢地。」
pakinakaw a meken!,「慢慢吃！」
yaku talima eezaw mupuza mikita atun haé.,「我自己來看 Atun 而已喔。」
yaku a suazi meken ka maida hann.,「我的弟弟吃很快哦。」
yaku a apu madiak a muzakay.,「我的祖父走路走很慢。」
ana midem!,「別睡！」
idem’ina!,「請睡！」
ana meken putian a iu!,「別吃毒品！」
alo meken’i sumay!,「來吃飯！」
yami mututing a akhéhén.,「我們打小孩。」
yaku musapoh a humak.,「我掃家裡。」
aba mututing yaku.,「父親打我。」
balan mukumuk titay.,「貓抓老鼠。」
yaku ka meken sumay.,「我吃飯。」
imini ka musakaw yaku a pai.,「他偷我的錢。」
yaku a aba ka maida a muzakay.,「我的父親走路很快。」
yaku a aba muzakay maida.,「我的父親走路很快。」
mades a mituku lia.,「坐很久了。」
mituku mades.,「坐很久。」
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」
yaku maakux azawzaw.,「我非常熱。」
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一些豬肉去我的朋友的家。」
yaku a aba mahabay taating lia.,「我的父親舒服些了。」
yaku ka tahayak taating.,「我有一點累。」
meken dahu liaka baget taating lia.,「我吃很多然後變胖一些了。」
midem taating.,「（我）睡一些。」
meseket taating.,「（我）休息一些。」
seket’i taating hann!,「休息一些哦！」
yaku mausay medepex.,「我要來去讀書。」
yaku mubaza mukawat kaxabu a ahan.,「我會說噶哈巫的話。」
yaku haaput mikita isiw.,「我想要看你。」
yaku midahin.,「我感到驚嚇。」
atun paidahin yaku.,「Atun 讓我感到驚嚇。」
yaku a takat pasibaza yaku matoway.,「我的老師教我唱歌。」（字面：我的老師使我會唱歌）
yaku mubaza mukawat kaxabu a ahan.,「我會講噶哈巫的話。」
pazakay haka mubaza.,「讓（他）走路，（他）就會知道。」
"yaku a kaaw magizem hann, haaput muzakay.",「我的腳很健壯哦，愛走路。」
pakamasezaw a nisiw a beket na!,「把你的頭髮弄乾淨一點吧！」
