噶哈巫語,華語
yaku dauik ma ini mikita masezaw.,「我眼睛也沒有看清楚。」
isiw ka tahayak say?,「你累嗎？」
pakahalupat taating ka iak a saanu mikita.,「（你）讓（它）長一點，較好看。」
patakan ka halupas.,「竹子很長。」
biluan pakamuaping yaku a ukut.,「Biluan 弄破我的褲子。」
isiw a ukut muaping lia.,「你的褲子破掉了。」
imisiw a akhéhén a siatu mupayak lia.,「那個小孩的衣服濕了」
aba mututing yaku.,「父親打我。」
atun paidahin yaku.,「Atun 讓我感到驚嚇。」
paidahin yaku liaki atun.,「Atun 讓我感到驚嚇了。」
pakatangiti ita haki taumala.,「政府讓我們生氣。」
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」
atun paka yaku mudok dalum.,「Atun 讓我喝水。」
apu tahayak.,「祖父很累。」
paka tangiti ita haki taumala.,「政府讓我們生氣。」
paka ita tangiti haki ohoni a taumala.,「現在的政府讓我們生氣。」
"yaku a mama madiak yaku a suazi, pakamangit.",「我的哥哥討厭我的弟弟，把（他）弄哭。」
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」
paka isiw mahabay taating.,「讓你舒服一點。」
paka nita umu maziah.,「讓咱們的粿熟。」
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」
paka bauzak meken.,「讓豬吃。」
yaku a aba paka yaku mukusa medepex.,「我的父親讓我去讀書。」
apu ka paka yaku mubaza kaxabu a ahan.,「祖父讓我知道噶哈巫語。」
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」
paka yaku matahatan haki imu.,「你們讓我高興。」
atun paka yaku mudok dalum.,「Atun 讓我喝水。」
paka ita tangiti haki ohoni a taumala.,「現在的政府讓咱們生氣。」
pazakay’ina!,「請讓（他）走路！」
pakita’ina!,「請讓（他）看！」
pakan’ina!,「請讓（他）吃！」
nisiw a sibabun pakamataw’i haka saanu mutahay.,「讓你的鴨子大一點比較好殺。」
pakahatiken’ina! ana halupas!,「請讓（它）短一點！不要長！」
pakaisilaw’ina!,「請讓（它）白一點！」
paka nita eten a saw maxuiakiak’i!,「讓我們村莊的人健壯！」
pakita’ina!,「請讓（他）看！」
paakita’ina!,「請讓（兩人）相看。」
yaku a aba iu yaku a ina maakudungkudung.,「我的父親和母親互（以棍）打。」
"imidusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」
yaku a mama iu yaku a suazi kaidisiw maaexetexet.,「我的哥哥和我的弟弟在那邊互摔。」
niam a atun iu kaiditshay akhéhén mamais maakitakita lia.,「我們的 Atun 和哪邊的女孩相看了。」
mama iu suazi kaidisiw maadudundudun.,「哥哥和弟弟在那邊相推」
kaidisiw mitubi liaka maa tadaw maatahaytahay.,「在那邊生氣然後拿刀互殺。」
atun ka haaput biluan.,「Atun 愛 Biluan。」
atun iu biluan maakahaaput.,「Atun 和 Biluan 相愛。」
abuk iu atun maxupapa.,「Abuk 和 Atun 相罵。」
yaku a aba iu ina maxupapa.,「我的父親和我的母親相罵。」
atun ka maisat talima.,「Atun 罵自己。」
atun ka mututing talima.,「Atun 打自己。」
atun haaput talima.,「Atun 愛自己。」
atun ka maisat talima.,「Atun 罵自己。」
atun ka maahan talima.,「Atun 騙自己。」
atun ka maisat biluan.,「Atun 罵 Biluan。」
atun ka maahan talima.,「Atun 騙 Biluan。」
aba ka mututing talima a mamais.,「父親打自己的妻子。」
"ina ka nang a musinaw siatu, paka talima a akhéhén talima musinaw.",「母親不想洗衣服，讓自己的小孩自己洗。」
yaku a apu talima malaleng.,「我的祖父自己住。」
yaku a apu talima mudawan.,「我的祖父自己洗澡。」
atun ka talima mukusa madu tilikas.,「Atun 自己去放陷阱。」
yaku talima mukusa mataw eten.,「我自己去街上」
apu ka talima meken eezaw.,「祖父自己吃而已。」
atun ka talima mukukusa eezaw.,「Atun 自己工作而已。」
yaku ka nang a talima meken.,「我不想自己吃。」
"yaku a apu talima malaleng, iu talima meken eezaw.",「我的祖父自己住，也自己吃而已。」
imini ka dukun.,「這是芋頭。」
dukun haki imini.,「這是芋頭。」
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」
kaxabu a saw ki atun.,「Atun 是噶哈巫人。」
ita ka tatawan a saw.,「咱們是臺灣人。」
yaku ka mamaneng a saw.,「我是男人。」
imisiw ka takat.,「他是老師。」
imini ka dukun.,「這是芋頭。」
imini a eten ka sianglukus.,「這個村莊是守城。」
imisiw a saw ka atun.,「那個人是 Atun。」
imini ka yaku a tatoko.,「這是我的拐杖。」
imini ka yaku a aba.,「這是我的爸爸。」
imini ka yaku a aba a siatu.,「這是我爸爸的衣服。」
yaku (ka) mupuza lia.,「我來了。」
atun (ka) mututing yaku.,「Atun 打我。」
mupuza haki yaku.,「我來了。」
mututing yaku haki atun.,「Atun 打我。」
baget haki imini.,「他很胖。」
balan mungazip titay lia.,「貓咬老鼠了。」
mungazip titay liaki balan.,「貓咬老鼠了。」
yaku a balax ka sakaw’en saw lia.,「我的工具被人拿了。」
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿了。」
salaman maa’en saw lia.,「碗被人拿了。」
maa’en saw liaki salaman.,「碗被人拿了。」
hébut’en saw liaki atun.,「Atun 被人打了。」
yaku a pai sakaw’en sahat lia.,「我的錢被小偷偷了。」
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」
tuting’en ni aba liaki yaku.,「我被爸爸打了。」
yaku mupuza lia.,「我來了。」
yaku kaidini mituku.,「我在這裡坐。」
imini a kato ka mainu.,「這李子是酸的喔。」
imini a tatoko hateken.,「這支枴杖很短。」
imini a tulala ka isilaw.,「這朵花是白色的。」
atun mututing yaku.,「Atun 打我。」
isiw haaput tulala bo?,「你想要花嗎？」
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」
atun (ka) mututing yaku.,「Atun 沒有打我。」
laladan nahaza saaken.,「桌子（上）有菜餚。」
binayu nahaza binayu a bauzak.,「山（上）有山豬。」
umamah nahaza dadas.,「田（裡）有番薯。」
"paka isiw paluzuakzuak’i, nahaza ali akhéhén!",「讓你多子多孫，有孫子、小孩！」
yaku iu nahaza pai.,「我也有錢。」
nahaza saix haki nisiw a humak.,「你們家有屎。」
umamah kuang a dadas.,「田（裡）沒有番薯。」
binayu kuang a bauzak lia.,「山（上）沒有豬了。」
yaku nahaza pai.,「我有錢。」
yaku nahaza mama iu iah.,「我有哥哥和姐姐。」
yaku meken lia.,「我吃了。」
imini a akhéhén mamay ka hinawiak.,「這小女孩很漂亮。」
yaku kuang a pai.,「我沒有錢。」
yaku a apu kaidi angasat.,「我的祖母在床（上）。」
dadas kaidi umamah.,「番薯在田（裡）。」
saaken kaidi laladan.,「菜在桌（上）。」
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」
yaku a apu midem kaidi angasat.,「我的祖母在床上睡覺。」
angasat nahaza wazu.,「床上有狗。」
angasat nahaza wazu kaidisiw midem.,「床上有狗在那邊睡覺。」
dadas kuang a kaidi umamah.,「番薯沒有在田（裡）。」
kuang a saaken kaidi laladan.,「沒有菜餚在桌（上）。」
mungazip titay liaki balan.,「貓咬老鼠了。」
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」
balan mungazip titay.,「貓咬老鼠。」
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」
mungazip yaku haki wazu.,「狗咬我。」
mulawa liaki wazu.,「狗在吠。」
muasak liaki laladan.,「桌子壞掉了。」
tuting’en naki liaki wazu.,「狗被我打了。」
maa’en liaki salaman.,「碗被拿了。」
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」
tuting’en ni aba lia.,「被爸爸打了。」
mineken liaki yaku.,「我吃完了。」
yaku mineken lia.,「我吃完了。」
matahatan haki yaku.,「我真高興。」
nang a musapo daxe haki yaku.,「我討厭掃地。」
mahabay ki yaku.,「我很舒服。」
iak a lama ki isiw.,「你真好命。」
tuting’en ni aba liaki yaku.,「我被爸爸打了。」
tuting’en naki liaki wazu.,「狗被我打了。」
sinaw’en naki lia.,「被我洗了。」
salaman maa’en naki lia.,「碗被我拿走了。」
yami mututing a akhéhén.,「我們打小孩」
yaku mausay mutalek a sumay.,「我要來煮飯。」
yaku meken sumay.,「我吃飯。」
balan mukumuk titay.,「貓抓老鼠。」
yaku a haaput meken a hapus.,「我喜歡吃青苔。」
yaku a baget lia.,「我胖了。」
yaku a haaput pasezaw daxe.,「我喜歡使地板乾淨。」
yaku a ini mahabay taating.,「我不太舒服。」
hébut’en saw liaki atun.,「Atun 被人打了。」
yaku saisiman isiw.,「我很疼你。」
isiw saisiman yaku.,「你很疼我。」
balan mungazip titay.,「貓咬老鼠。」
aba mututing akhéhén.,「爸爸打小孩。」
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」
salaman maa’en naki lia.,「碗被我拿走了。」
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」
balan mungazip titay.,「貓咬老鼠。」
aba mututing akhéhén.,「爸爸打小孩。」
yaku ka meken sumay.,「我在吃飯。」
imisiw ka mututing wazu.,「他打狗。」
imisiw ka mututing wazu.,「他打狗。」
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」
yaku a pai ka saana sahas maa dadua lia.,「我的錢被小偷全拿走了。」
yaku maa tulala saanu isiw.,「我拿花給你。」
yaku maa seme saanu nuang meken.,「我拿草給牛吃。」
yaku a akhéhén saanu takat mututing.,「我的小孩被老師打。」
isiw a dalum saana yaku mudok lia.,「你的水被我喝了。」
mulawa liaki wazu.,「狗在吠。」
tuting’en ni aba liaki yaku.,「我被爸爸打了。」
mungazip titay liaki balan.,「貓有咬老鼠了。」
imisiw a saw tangiti lia.,「那個人生氣了。」
balan mungazip titay.,「貓咬老鼠。」
yaku ka kaxabu a saw.,「我是噶哈巫人。」
imini ka uzay yaku a beleben.,「這不是我的香蕉。」
"yaku ka uzay kaxabu, iu uzay utakay. yaku ka tapulu.",「我不是噶哈巫，也不是客家人。我是閩南人。」
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」
yaku uzay mudok inusat. mudok dalum hann.,「我不是喝酒，是喝水哦。」
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」
yaku ini meken dadas hann.,「我沒有吃蕃薯哦。」
ohoni ini mudan.,「今天沒下雨。」
mudan lia.,「下雨了。」
yaku ini musinaw kaaw.,「我沒洗腳。」
apu tahayak.,「祖父很累。」
apu ini tahayak.,「祖父不累。」
ini paka yaku tahayak.,「（你）沒有讓我累。」
ini mahabay haki yaku.,「我不舒服。」
isiw ka tahayak say?,「你會累嗎？」
ini.,「不會。」
pakatahayak!,「讓你累了！／謝謝你！」
ini.,「不會。」（被感謝／稱讚時回應）
ini ini.,「不會、不會。」（被感謝／稱讚時之回應）
yaku nahaza pai.,「我有錢。」
yaku kuang a pai.,「我沒有錢。」
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」
yaku ini meken sumay.,「我沒有吃飯。」
yaku kuang a pai.,「我沒有錢。」
ana/ausin maida!,「（你）別那麼快！」
ana/ausin midem!,「（你）別睡！」
"yaku haaput mukusa binayu iak, iu ana mukusa iak.",「我要去山上好，還是不要去好？」
maana na.,「請等一下。」
nang a meken haput haki yaku.,「我討厭吃青苔。」
nang a musapo daxe haki yaku.,「我討厭掃地。」
nang a imini haki yaku.,「我不要這個。」
nang a mudalum a wazu haki yaku.,「我不要養狗。」
sawan mamek nahaza udan asi kaung.,「今天沒下雨，明天則不知道有雨還是沒有。」
sawan ini mubaza nahaza udan asi kaung.,「今天沒下雨。明天不知道有雨還是沒有。」
yaku ka meken sumay lia.,「我吃飯了。」
yaku mayaw meken sumay.,「我還沒吃飯。」
mayaw.,「還沒。」
yaku meken dadas.,「我吃蕃薯。」
yaku ini meken dadas.,「我沒有吃蕃薯。」
yaku nahaza pai.,「我有錢。」
yaku kuang a pai.,「我沒有錢。」
idem’i!,「睡！」
ana midem!,「別睡！」
imisiw ka nisiw a wazu say?,「那是你的狗嗎？」
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」
isiw musuling dadas say?,「你在烤地瓜嗎？」
isiw ka mututing yaku a wazu say?,「你打我的狗嗎？」
isiw ka tahayak say?,「你會累嗎？」
isiw ka ini tahayak say?,「你不累嗎？」
isiw ka utakay say?,「你是客家人嗎？」
hauay.,「是的。」
isiw ka mukusa mataw eten say?,「你是去街上嗎？」
hauay. mukusa mubaiw taating a selem.,「是的。去買一些油。」
isiw ka nahaza imini bo?,「你有這個嗎？」
isiw mausay muzakay bo?,「你要去走路嗎？」
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」
isiw ka haaput meken dadas iu dukun?,「你要吃番薯還是芋頭？」
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我去山上好，還是別去好？」
imini ka kabas iu uzay?,「這是木板還是不是？」
mudawan iak lia iu mayaw?,「洗好了還是還沒？」
isiw ka haaput tabako iu nang?,「你要斗笠還是不要？」
yaku ka tapulu.,「我是閩南人。」
ima ki hazian?,「誰不好？」
isiw ka malaleng kaidi tshay?,「你住在哪裡？」
yaku malaleng kaidi baisia.,「我住在牛眠。」
isiw ka mausay tshay?,「你要去哪裡？」
mausay miadua.,「要去那邊。」
isiw ka kaidi tshay mupuza?,「你從哪裡來？」
yaku ka mataw eten mupuza.,「我從街上來。」
nisiw a halam kaidi thsay mubaiw?,「你在哪裡買菜？」（字面：你的菜在哪裡買？）
kaidi mataw eten.,「在街上。」
isiw ka kaidi thsay maukhehan?,「你在哪裡出生？」
kaidi sianglukus.,「在守城。」
imu ka kaidi tshay a saw?,「你們是哪裡的人？」
isiw haima akhéhén?,「你有多少小孩？」
dusa eezaw.,「兩個而已。」
nisiw a xalam haima pai?,「你的菜多少錢？」
nisiw a wazu haima?,「你有幾隻狗？」（字面意義：你的狗多少）
ini mudalum a wazu.,「沒養狗。」
isiw a akhéhén haima mataw lia?,「你的小孩多大了？」
mayaw mubaza axaxay.,「還不知道什麼。」
nisiw a ima ka muaxay?,「你的手怎麼了？」
asikit a ima.,「手痛。」
nisiw a sasapo muaxay mubuyak?,「你掃把怎麼做的？」
muaxay haaput mututing yaku a akhéhén?,「（你）為什麼要打我的小孩？」
hazian a mukawas.,「講不聽。」（字面意義：難講）
muaxay ka nang a meken sumay?,「為什麼不吃飯？」
téleket lia. nang a meken sumay.,「飽了。不要吃飯。」
muaxay ka nang a mudok dalum?,「為什麼不要喝水？」
ini makait a haho.,「脖子沒乾。」
muaxay mudan?,「怎麼會下雨？」
teehen a babaw.,「天空黑。」
isiw ka sasay nang a meken sumay?,「你為什麼不要吃飯？」
sasay ka mututing yaku hann?,「為什麼打我呢？」
sasay’en a musinaw?,「怎麼洗？」
imini a saaken ka sasay’en a mutalek?,「這菜餚怎麼煮？」
ini asikit sasay’in a mutapik imini?,「沒有痛怎麼貼這個？」
sasay’en lia?,「怎麼辦？」
axay daali haka midem?,「什麼時候你才要睡覺？」
axay daali haaput mudawan?,「什麼時候要洗澡？」
axay daali mausay mataw eten mubaiw selem?,「什麼時候要去街上買肉？」
axay daali haaput meken sumay?,「你什麼時候要吃飯？」
daalian hann.,「中午呀！」
isiw ka kuasayan mukusa mukato bekes?,「你什麼時候剪頭髮的？」
haaput mubaiw humak haki yaku.,「我想要買房子。」
yaku talima eezaw mupuza mikita atun haé.,「我只有自己來看 Atun。」
yaku mubaza mukawat kaxabu a ahan.,「我會說噶哈巫的話。」
yaku a ina pahaihan mutalek saaken.,「我的母親忘記煮菜。」
atun ka mutuku meken sumay.,「Atun 坐著吃飯。」
pialay haaput paxuma mulasi.,「開始要種稻子。」
yaku mudawan muuput lia.,「我洗完澡了。」
yaku haaput mikita isiw.,「我喜歡看你。」
yaku a aba ka haaput meken tana haé.,「我的父親喜歡吃刺蔥。」
haaput mudan lia.,「要下雨了。」
yaku a apu mudawan iak lia.,「我的祖父洗澡洗好了。」
muuput a mudawan lia.,「洗完澡了。」
yaku mubaza tumala kaxabu a ahan lia.,「我會聽噶哈巫的話了。」
imini a beleben ka imisiw maa mupuza.,「這香蕉是他拿來的。」
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來的。」
yaku a aba muzakay maida.,「我的父親走得很快。」
yaku a apu muzakay madiak.,「我的祖父走很慢。」
mituku mades.,「坐很久。」
yaku a suazi meken ka maida.,「我的弟弟吃很快。」
yaku meken sumay ka madiak.,「我吃飯很慢。」
yaku mukumuk alaw ka sabang.,「我抓魚很厲害。」
yaku a suazi meken ka maida.,「我的弟弟吃很快。」
yaku a aba ka maida a muzakay.,「我的父親走路很快。」
yaku ka sabang a mukumuk alaw.,「我抓魚很厲害。」
yaku a apu madiak a muzaky.,「我的祖父走路走很慢。」
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿豬肉去朋友家。」
mukusa binayu madu tilikas.,「去山上放陷阱。」
atun ka mikita balan ngaangazip titay.,「Atun 看到貓正在咬老鼠。」
yaku padudu atun nita kaxabu a ahan sasay’en a mukawas.,「我問 Atun 咱們噶哈巫的話怎麼說。」
yaku a aba haaput tumala yaku maatoway.,「我的父親想要聽我唱歌。」
yaku mikita kunay saasakaw nisaw a bon.,「我看到 Kunay 正在偷別人的南瓜。」
yaku mikita nita kunay hééhébut nita atun.,「我看到咱們的 Kunay 正在打咱們的 atun。」
yaku ka mikita atun mukusa axung maa alaw.,「我看到 Atun 去溪裡抓魚。」
yaku tumala atun ka maxatakat lia.,「我聽到 Atun 成為老師了。」
mikita atun saana kunay muhébut.,「（我）看到 Atun 被 Kunay 打。」
yaku mubaza sawan nahaza udan.,「我知道明天有雨。」
yaku mamek isiw malaleng kaidi tshay.,「我不知道你住在哪裡。」
yaku pahaihan isiw malaleng kaidi tshay.,「我忘記你住在哪裡。」
"yaku a ina mukawas, atun ka haaput maa nisaw a akhéhén mamais.",「我的母親說 Atun 想要娶別人家的女孩。」
"yaku a aba mukawas, sawan ka nahaza udan.",「我的父親說明天有雨。」
yaku ka maha isiw usa humak maa siatu.,「我叫你去家裡拿衣服。」
"maha yaku liaki yaku a ina, mausay mudawan.",「我的母親叫我去洗澡。」
"kiikiliw liaki nisiw a ina, usa mudawan.",「你的母親正在叫你去洗澡。」
yaku padudu nita pungu imini a selem ka haima pai.,「我問老闆這塊豬肉多少錢。」
kaidi xasep a ilas liaka nahaza xaxela.,「在十月的時候有霜。」
yaku kaidi mataw a malaliw haka nita a takat mupuza kiikita yami.,「我在大地震的時候，咱們的老師來看我們。」
"kaidi maa mamais, yaku a ina iu puihiat lia.",「在娶妻子的時候，我的媽媽又過世了。」
"ohoza kaidi tanatunu, hoaho mupuza, mubuyak a daan.",「以前在日本時代的時候，日本人來，做路。」
ini musinaw a ima ka ana meken sumay hann!,「如果沒洗手，別吃飯喔！」
yaku ka nahaza dahu a pai ka haaput mubaiw a humak.,「我如果有很多錢，要買房子。」
isiw kuang a pai ka ana mubaiw axaxay saanu yaku.,「你如果沒有錢，不要買東西給我。」
"isiw mayaw mudawan, ana midem!",「你如果還沒洗澡，別睡覺！」
yaku nahaza pai ka haaput mubaiw humak haki yaku.,「我如果有錢，我要買房子。」
yaku na nahaza daali ka imu mupuza ka maki imu mukawas; yaku na kuang a daali saanu meseket ka ini maki imu mutuku.,「我如果有時間，你們來，跟你們說話；我如果沒有時間可以休息，沒跟你們坐。」（
"isiw ka haaput tabako iu nang? haaput ka baxa isiw, isiw na nang liaka yaku haaput hazing kaidi daan.",「你要斗笠還是不要？要的話給你，你如果不要，我就丟在路上。」
isiw na maahan yaku ka yaku nang a maki isiw mukawas.,「你如果騙我，我就不要跟你講話。」
yaku tahayak azawzaw haka yaku nang a mukukusa.,「我很累，所以我不想工作。」
meken dahu liaka baget taating lia.,「（我）吃很多，然後變胖一些了。」
yami akhéhén mukusa mutahan pai liaka aba mahabay.,「我們小孩去賺錢了，父親很舒服。」
"isiw mayaw mudawan, ana midem.",「你還沒洗澡，別睡覺。」
"ini mahabay haki yaku, nang a mukusa mukukusa.",「我不舒服，不想去工作。」
hakezeng liaka hazian lia.,「老了不好了。」
hazian lia ki yaku a punu.,「我的頭腦不好了。」
ohoni mudan liaka yaku nang a mukusa mikita umama.,「現在下雨了，我不想去看田。」
yaku tahayak azawzaw haka yaku nang a mukukusa.,「我很累所以我不想工作。」
mataw a mulaliw liaka mauit liaki humak.,「大地震，房子倒了。」
"imini a saw dahu a pai, kulaka ini mahabay a hinis.",「這個人很多錢，但心情不舒服。」
"imu haaput tumala Kaxabu a ahan, kulaka Kaxabu a ahan ka sazian a tumala.",「你們想要聽噶哈巫話，但噶哈巫的話不好聽。」
"kahuy ka ini halupas, patakan ka halupas, kulaka patakan ka taating eezaw, kahuy ka mataw taating.",「樹不長，竹子長，但是竹子一點點而已，而樹大一些。」
"haaput mubaiw selem kula, ini masu pai.",「想要買豬肉，但是沒帶錢。」
"haaput meken sumay kula, yaku a tian ka asikit azawzaw liaka nang a meken lia.",「想要吃飯，但我的肚子很痛，所以不要吃飯了。」
"imu ka haaput mupuza yaku a humak mikita yaku, kulaka yaku hazian a buxu.",「你們喜歡來我的家看我，但我身體不好。」
"yaku ka nahaza dusa a akhéhén, imisiw ka tuu a akhéhén.",「我有兩個小孩，他有三個小孩。」
"yaku ka malaleng kaidi sianglukus, imisiw ka malaleng kaidi baisia.",「我住在守城，他住在牛眠。」
"yaku ka malaleng kaidi sianglukus, iu imisiw ka malaleng kaidi baisia.",「我住在守城，他住在牛眠。」
"yaku a aba ka haaput meken tana, iu yaku a ina ka haaput meken hapus.",「我的父親喜歡吃刺蔥，而我的母親喜歡吃青苔。」
"atun a aba ka kizi meken sumay, iu atun ka mituku meken sumay.",「Atun 的父親站著吃飯，而 Atun 坐著吃飯。」
yaku a ina iu puihiat lia.,「我的母親也死了。」
yaku mubaza sawan iu nahaza udan.,「我知道明天也有雨。」
atun iu maaisiay kizi meken sumay.,「Atun 也一樣站著吃飯。」
"atun nahaza saanu mukukusa, iu kunay iu nahaza saanu mukukusa.",「Atun 有可以工作，而 Kunay 也有可以工作。」
"atun mukusa binayu madu tilikas, iu kunay iu mukusa binayu madu tilikas.",「Atun 去山上放陷阱，而 Kunay 也去山上放陷阱。」
yaku iu mama mukusa binayu.,「我和哥哥去山上。」
yaku maki mama mukusa binayu.,「我跟哥哥去山上。」