噶哈巫語,華語,模型翻譯
tuting’en ni aba lia.,「被爸爸打了。」,tuting’en ni aba lia.
mineken liaki yaku.,「我吃完了。」,yaku meken selesai lia.
yaku mineken lia.,「我吃完了。」,yaku meken selesai lia.
matahatan haki yaku.,「我真高興。」,yaku haapusi haimais.
nang a musapo daxe haki yaku.,「我討厭掃地。」,nang a musapo saeken haki yaku.
mahabay ki yaku.,「我很舒服。」,maakyak haki taating.
iak a lama ki isiw.,「你真好命。」,pakeki a saw!
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,tuting’en ni aba liaki yaku.
tuting’en naki liaki wazu.,「狗被我打了。」,tuting’en naki liaki wazu.
sinaw’en naki lia.,「被我洗了。」,sinaw’en naki lia.
salaman maa’en naki lia.,「碗被我拿走了。」,salaman maa’en naki lia.
yami mututing a akhéhén.,「我們打小孩」,yami mututing siakli.
yaku mausay mutalek a sumay.,「我要來煮飯。」,yaku haaput mupuza sumay.
yaku meken sumay.,「我吃飯。」,yaku meken sumay.
balan mukumuk titay.,「貓抓老鼠。」,balan mukumuk titay.
yaku a haaput meken a hapus.,「我喜歡吃青苔。」,yaku a paidoh meken taitais.
yaku a baget lia.,「我胖了。」,yaku a siw liaki.
yaku a haaput pasezaw daxe.,「我喜歡使地板乾淨。」,yaku haaput paka aapuy a dalima.
yaku a ini mahabay taating.,「我不太舒服。」,yaku ini mahabay a inawan.
hébut’en saw liaki atun.,「Atun 被人打了。」,atun ka saw musyxaw lia.
yaku saisiman isiw.,「我很疼你。」,yaku saisiw isiw haki ining.
isiw saisiman yaku.,「你很疼我。」,isiw saisiman yaku.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
aba mututing akhéhén.,「爸爸打小孩。」,aba mututing akhéhén.
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,yaku a balax ka sakaw’en saw lia.
salaman maa’en naki lia.,「碗被我拿走了。」,salaman maa’en naki lia.
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,yaku a aitukuan doko’en saw lia.
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」,kaikai nisiw mukusin ima a baba lia.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
aba mututing akhéhén.,「爸爸打小孩。」,aba mututing akhéhén.
yaku ka meken sumay.,「我在吃飯。」,yaku ka meken sumay.
imisiw ka mututing wazu.,「他打狗。」,imisiw ka mututing wazu.
imisiw ka mututing wazu.,「他打狗。」,imisiw ka mututing wazu.
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」,imini a wazu saanu imisiw mututing.
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」,imini a wazu saanu imisiw mututing.
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」,yaku saana hazian a saw taitus’en.
yaku a pai ka saana sahas maa dadua lia.,「我的錢被小偷全拿走了。」,yaku a pai chupu tang haki saaw lia.
yaku maa tulala saanu isiw.,「我拿花給你。」,yaku maa saanu isiw a iu.
yaku maa seme saanu nuang meken.,「我拿草給牛吃。」,yaku mupuut a beleben paimid taata.
yaku a akhéhén saanu takat mututing.,「我的小孩被老師打。」,yaku a akhéhén selem ka utong a takat liaki.
isiw a dalum saana yaku mudok lia.,「你的水被我喝了。」,isiw a dalum ku’en yaku mudok lia.
mulawa liaki wazu.,「狗在吠。」,mungazip tit’en haki wazu.
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,tuting’en ni aba liaki yaku.
mungazip titay liaki balan.,「貓有咬老鼠了。」,balan ka muax azawx sayi.
imisiw a saw tangiti lia.,「那個人生氣了。」,imisiw a saw tangiti lia.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
yaku ka kaxabu a saw.,「我是噶哈巫人。」,yaku ka kaxabu a saw.
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,imini ka uzay yaku a beleben.
"yaku ka uzay kaxabu, iu uzay utakay. yaku ka tapulu.",「我不是噶哈巫，也不是客家人。我是閩南人。」,"yaku ka musi kaxabu, udah manuaki yaku ka aten. yaku asing a ilayat a."
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」,yaku uzay meken dadas hann.
yaku uzay mudok inusat. mudok dalum hann.,「我不是喝酒，是喝水哦。」,"yaku uzay mudawan iu, a mudawan dalan a."
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」,yaku uzay meken dadas hann.
yaku ini meken dadas hann.,「我沒有吃蕃薯哦。」,yaku ini meken dadas hann.
ohoni ini mudan.,「今天沒下雨。」,ohoni ini mudan.
mudan lia.,「下雨了。」,mudan lia.
yaku ini musinaw kaaw.,「我沒洗腳。」,yaku ini musinaw.
apu tahayak.,「祖父很累。」,apu tahayak.
apu ini tahayak.,「祖父不累。」,apu ka ini tait.
ini paka yaku tahayak.,「（你）沒有讓我累。」,ini paka yaku tahayak.
ini mahabay haki yaku.,「我不舒服。」,ini mahabay kiaku.
isiw ka tahayak say?,「你會累嗎？」,isiw ka tahayak say?
ini.,「不會。」,ini.
pakatahayak!,「讓你累了！／謝謝你！」,paka nisialima ian!
ini.,「不會。」（被感謝／稱讚時回應）,ini.
ini ini.,「不會、不會。」（被感謝／稱讚時之回應）,ini ini.
yaku nahaza pai.,「我有錢。」,yaku nahaza pai.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」,yami kuut dahu a pai humakay teezahat.
yaku ini meken sumay.,「我沒有吃飯。」,yaku ini meken sumay.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
ana/ausin maida!,「（你）別那麼快！」,ana inisaw!
ana/ausin midem!,「（你）別睡！」,ana midem!
"yaku haaput mukusa binayu iak, iu ana mukusa iak.",「我要去山上好，還是不要去好？」,yaku haaput mukusa binayu iang a butu mukusa iang.
maana na.,「請等一下。」,exan’i haki.
nang a meken haput haki yaku.,「我討厭吃青苔。」,nang a meken iu i pai.
nang a musapo daxe haki yaku.,「我討厭掃地。」,hatudu maman liaki haki yaku.
nang a imini haki yaku.,「我不要這個。」,yaku mâput tuaping.
nang a mudalum a wazu haki yaku.,「我不要養狗。」,yaku ini haaput az dandaw a wazu.
sawan mamek nahaza udan asi kaung.,「今天沒下雨，明天則不知道有雨還是沒有。」,ohoni ini ka mamudan. ozaanu ohoni mayaw ka kaabu udanh.
sawan ini mubaza nahaza udan asi kaung.,「今天沒下雨。明天不知道有雨還是沒有。」,ohoni ini mudan. tausan iu liaka binayu iu mudan.
yaku ka meken sumay lia.,「我吃飯了。」,yaku meken sumay lia.
yaku mayaw meken sumay.,「我還沒吃飯。」,yaku mayaw meken sumay.
mayaw.,「還沒。」,mayaw.
yaku meken dadas.,「我吃蕃薯。」,yaku meken dadas.
yaku ini meken dadas.,「我沒有吃蕃薯。」,yaku ini meken dadas.
yaku nahaza pai.,「我有錢。」,yaku nahaza pai.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
idem’i!,「睡！」,dalang’i!
ana midem!,「別睡！」,ana midem!
imisiw ka nisiw a wazu say?,「那是你的狗嗎？」,imisiw ka nisiw a wazu say?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
isiw musuling dadas say?,「你在烤地瓜嗎？」,isiw ka tatam dadas say?
isiw ka mututing yaku a wazu say?,「你打我的狗嗎？」,isiw ka mututing yaku a wazu say?
isiw ka tahayak say?,「你會累嗎？」,isiw ka tahayak say?
isiw ka ini tahayak say?,「你不累嗎？」,isiw ka ini tahayak say?
isiw ka utakay say?,「你是客家人嗎？」,isiw ka utakay a saw?
hauay.,「是的。」,hauay.
isiw ka mukusa mataw eten say?,「你是去街上嗎？」,isiw ka mukusa mataw eten say?
hauay. mukusa mubaiw taating a selem.,「是的。去買一些油。」,haaput mubaiw kiniw sikud a seet.
isiw ka nahaza imini bo?,「你有這個嗎？」,isiw ka nahaza imini bo?
isiw mausay muzakay bo?,「你要去走路嗎？」,isiw haaput muzakay madu’i iu?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」,imini ka nimu a beleben say?
isiw ka haaput meken dadas iu dukun?,「你要吃番薯還是芋頭？」,isiw ka haaput meken dadas iu dukun?
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我去山上好，還是別去好？」,"yaku mukusa binayu iak, iu ana mukusa iak lia?"
imini ka kabas iu uzay?,「這是木板還是不是？」,imini ka sekeneku a bekenek?
mudawan iak lia iu mayaw?,「洗好了還是還沒？」,sinaw’en ohoni iu maisay?
isiw ka haaput tabako iu nang?,「你要斗笠還是不要？」,isiw ka mausu tamusu kiatebe?
yaku ka tapulu.,「我是閩南人。」,yaku ka thengnai a saw.
ima ki hazian?,「誰不好？」,ini mikahali’i iu?
isiw ka malaleng kaidi tshay?,「你住在哪裡？」,isiw ka malalade kaidi tshay?
yaku malaleng kaidi baisia.,「我住在牛眠。」,yaku meken ni maa.
isiw ka mausay tshay?,「你要去哪裡？」,isiw ka mausay lalennen?
mausay miadua.,「要去那邊。」,meseku ohoni.
isiw ka kaidi tshay mupuza?,「你從哪裡來？」,isiw ka alata madiak?
yaku ka mataw eten mupuza.,「我從街上來。」,yaku meni mataw eten mupueng.
nisiw a halam kaidi thsay mubaiw?,「你在哪裡買菜？」（字面：你的菜在哪裡買？）,nisiw a sai a mahaliziw?
kaidi mataw eten.,「在街上。」,kaidi mataw.
isiw ka kaidi thsay maukhehan?,「你在哪裡出生？」,isiw ka alixw kaxa e?
kaidi sianglukus.,「在守城。」,kaidi mamulawa.
imu ka kaidi tshay a saw?,「你們是哪裡的人？」,isiw ka kaidi akhéhé a saw?
isiw haima akhéhén?,「你有多少小孩？」,isiw khuing a akhéhén?
dusa eezaw.,「兩個而已。」,dusa eezaw.
nisiw a xalam haima pai?,「你的菜多少錢？」,isiw a saan pai ka pue?
nisiw a wazu haima?,「你有幾隻狗？」（字面意義：你的狗多少）,nisiw a wazu alu?
ini mudalum a wazu.,「沒養狗。」,ini ka pahala wazu.
isiw a akhéhén haima mataw lia?,「你的小孩多大了？」,isiw a akhéhén khua khued?
mayaw mubaza axaxay.,「還不知道什麼。」,mayaw madiang a hingsuk.
nisiw a ima ka muaxay?,「你的手怎麼了？」,isiw a lama saisiliw a?
asikit a ima.,「手痛。」,mataas a ina.
nisiw a sasapo muaxay mubuyak?,「你掃把怎麼做的？」,nimiding sawatit a palay?
muaxay haaput mututing yaku a akhéhén?,「（你）為什麼要打我的小孩？」,makhuyak iimi haki yaku a akhéhén?
hazian a mukawas.,「講不聽。」（字面意義：難講）,nang a mubwag.
muaxay ka nang a meken sumay?,「為什麼不吃飯？」,ini meken sumay?
téleket lia. nang a meken sumay.,「飽了。不要吃飯。」,alia lia. nang a meken sumay.
muaxay ka nang a mudok dalum?,「為什麼不要喝水？」,ana ka ini pai mudu a dalum?
ini makait a haho.,「脖子沒乾。」,mainat muupat.
muaxay mudan?,「怎麼會下雨？」,kaida mudan?
teehen a babaw.,「天空黑。」,haka kuang a langit.
isiw ka sasay nang a meken sumay?,「你為什麼不要吃飯？」,isiw ka maisig meken sumay?
sasay ka mututing yaku hann?,「為什麼打我呢？」,kakumat mututing yaku hann?
sasay’en a musinaw?,「怎麼洗？」,sini saw’i naan?
imini a saaken ka sasay’en a mutalek?,「這菜餚怎麼煮？」,imini a saaken ka haaput meken eezah?
ini asikit sasay’in a mutapik imini?,「沒有痛怎麼貼這個？」,ini tunuk’en alahu tamalamu eezah a.
sasay’en lia?,「怎麼辦？」,anu na midem?
axay daali haka midem?,「什麼時候你才要睡覺？」,daang a asikit sais na midem?
axay daali haaput mudawan?,「什麼時候要洗澡？」,axay daali haaput mudawan?
axay daali mausay mataw eten mubaiw selem?,「什麼時候要去街上買肉？」,axay daanda haapu mukusa kikay midem.
axay daali haaput meken sumay?,「你什麼時候要吃飯？」,isiw ohayuk maahad umu maxan meken sumay?
daalian hann.,「中午呀！」,ohu hann!
isiw ka kuasayan mukusa mukato bekes?,「你什麼時候剪頭髮的？」,isiw ka ima kuday masinit atu lalliu?
haaput mubaiw humak haki yaku.,「我想要買房子。」,yaku haaput makro a humak.
yaku talima eezaw mupuza mikita atun haé.,「我只有自己來看 Atun。」,yaku mudawan talima tulisen kudik nii atun.
yaku mubaza mukawat kaxabu a ahan.,「我會說噶哈巫的話。」,yaku meken madiak a kaxabu a aha.
yaku a ina pahaihan mutalek saaken.,「我的母親忘記煮菜。」,yaku a ina mamudangi mikita daaden.
atun ka mutuku meken sumay.,「Atun 坐著吃飯。」,atun ka minum mukum.
pialay haaput paxuma mulasi.,「開始要種稻子。」,mudunana ki ni mikihe a saanu e.
yaku mudawan muuput lia.,「我洗完澡了。」,yaku mudawan muuput lia.
yaku haaput mikita isiw.,「我喜歡看你。」,yaku haaput mikita isiw.
yaku a aba ka haaput meken tana haé.,「我的父親喜歡吃刺蔥。」,yaku a aba ka haaput meken meken tilakaw.
haaput mudan lia.,「要下雨了。」,haaput mudan lia.
yaku a apu mudawan iak lia.,「我的祖父洗澡洗好了。」,yaku a apu mudawan iak lia.
muuput a mudawan lia.,「洗完澡了。」,muuput mudawan lia.
yaku mubaza tumala kaxabu a ahan lia.,「我會聽噶哈巫的話了。」,yaku mubaza sikuy a balisow a ahan lia.
imini a beleben ka imisiw maa mupuza.,「這香蕉是他拿來的。」,imini a beleben ka imisiw maa talima.
imini ka kaidi kalikus maa mupuza.,「這在大湳拿來的。」,imini ka kaidi kalikas maheta maa.
yaku a aba muzakay maida.,「我的父親走得很快。」,yaku a aba madiak a sikuan.
yaku a apu muzakay madiak.,「我的祖父走很慢。」,yaku a apu malalum a muzakay.
mituku mades.,「坐很久。」,mituku mades.
yaku a suazi meken ka maida.,「我的弟弟吃很快。」,yaku a suazi meken ka maida.
yaku meken sumay ka madiak.,「我吃飯很慢。」,yaku meken sumay ki butax.
yaku mukumuk alaw ka sabang.,「我抓魚很厲害。」,yaku mamusu dalum madi.
yaku a suazi meken ka maida.,「我的弟弟吃很快。」,yaku a suazi meken maida.
yaku a aba ka maida a muzakay.,「我的父親走路很快。」,yaku a aba ka maida a muzakay.
yaku ka sabang a mukumuk alaw.,「我抓魚很厲害。」,yaku mukuna iu ka hazian.
yaku a apu madiak a muzaky.,「我的祖父走路走很慢。」,yaku a apu madiak madiak ka maa.
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿豬肉去朋友家。」,yaku haaput maa taating a sevelik eezo a mama.
mukusa binayu madu tilikas.,「去山上放陷阱。」,mukusa binayu pahuyuput umamis.
atun ka mikita balan ngaangazip titay.,「Atun 看到貓正在咬老鼠。」,atun ka mikita balan mianu mukaw thes.
yaku padudu atun nita kaxabu a ahan sasay’en a mukawas.,「我問 Atun 咱們噶哈巫的話怎麼說。」,yaku padiken atun kaite kaxabu a ahan axaxéh.
yaku a aba haaput tumala yaku maatoway.,「我的父親想要聽我唱歌。」,yaku a aba haaput tumala yaku miki umayu.
yaku mikita kunay saasakaw nisaw a bon.,「我看到 Kunay 正在偷別人的南瓜。」,yaku mikita kunay madasamasat isiw a akaidiw a beleben.
yaku mikita nita kunay hééhébut nita atun.,「我看到咱們的 Kunay 正在打咱們的 atun。」,yaku mikita yami a kunay tápat yami a atun.
yaku ka mikita atun mukusa axung maa alaw.,「我看到 Atun 去溪裡抓魚。」,yaku mikita atun mukusubu takalasi maxu maxu dalum.
yaku tumala atun ka maxatakat lia.,「我聽到 Atun 成為老師了。」,yaku mikita atun a akhéhén naki.
mikita atun saana kunay muhébut.,「（我）看到 Atun 被 Kunay 打。」,lalumut atun madiak kunay mututing.
yaku mubaza sawan nahaza udan.,「我知道明天有雨。」,yaku mubasana nahaza udann.
yaku mamek isiw malaleng kaidi tshay.,「我不知道你住在哪裡。」,yaku mai dayita kazu tamusu daatelen.
yaku pahaihan isiw malaleng kaidi tshay.,「我忘記你住在哪裡。」,ana pahaliw isiw malaleng kaidi nuang a saw.
"yaku a ina mukawas, atun ka haaput maa nisaw a akhéhén mamais.",「我的母親說 Atun 想要娶別人家的女孩。」,yaku a ina mukuyak atun naxaxay naxe’en a suazu a reba.
"yaku a aba mukawas, sawan ka nahaza udan.",「我的父親說明天有雨。」,"yaku a aba mames, eezah a bina nahaza udann."
yaku ka maha isiw usa humak maa siatu.,「我叫你去家裡拿衣服。」,yaku kalia isis kaidi humak nahazut paiatu.
"maha yaku liaki yaku a ina, mausay mudawan.",「我的母親叫我去洗澡。」,yaku a ina mima yaku mukusa mouzak.
"kiikiliw liaki nisiw a ina, usa mudawan.",「你的母親正在叫你去洗澡。」,isiw a ina ka alawan mupuza medepex.
yaku padudu nita pungu imini a selem ka haima pai.,「我問老闆這塊豬肉多少錢。」,yaku mikita xama a seken a bauzuk vuai axung.
kaidi xasep a ilas liaka nahaza xaxela.,「在十月的時候有霜。」,kaidisiw a daaliw a alima azawng.
yaku kaidi mataw a malaliw haka nita a takat mupuza kiikita yami.,「我在大地震的時候，咱們的老師來看我們。」,yaku ka kaidi tatamalias mupuza tamuku isiw makita yami.
"kaidi maa mamais, yaku a ina iu puihiat lia.",「在娶妻子的時候，我的媽媽又過世了。」,kuang a tata wazuza miki saanu a taama saaw lia.
"ohoza kaidi tanatunu, hoaho mupuza, mubuyak a daan.",「以前在日本時代的時候，日本人來，做路。」,ohozaanu tamusu mausama sahaadek oohuupu kaaminikuu iinohapu maakena.
ini musinaw a ima ka ana meken sumay hann!,「如果沒洗手，別吃飯喔！」,mamuk’en mikisaw haki meken sumay hann!
yaku ka nahaza dahu a pai ka haaput mubaiw a humak.,「我如果有很多錢，要買房子。」,yaku ka nahaza alah asiw mazuza pai mubaiw halasu haki.
isiw kuang a pai ka ana mubaiw axaxay saanu yaku.,「你如果沒有錢，不要買東西給我。」,isiw kuang a pai ka ini mukuyak kating yaku a haaput mukanselah.
"isiw mayaw mudawan, ana midem!",「你如果還沒洗澡，別睡覺！」,"isiw mayaw mudawan, ana midem!"
yaku nahaza pai ka haaput mubaiw humak haki yaku.,「我如果有錢，我要買房子。」,yaku haapu pai taating dawas haki yaku a mahuana.
yaku na nahaza daali ka imu mupuza ka maki imu mukawas; yaku na kuang a daali saanu meseket ka ini maki imu mutuku.,「我如果有時間，你們來，跟你們說話；我如果沒有時間可以休息，沒跟你們坐。」（,"yaku haapu pai aikas, iiw mupuza, musu iiw mupuza ibosakat mamaisikas; yaku haapu pai aikas mausun makayakay, mausun mamaisikas iiw mupuza sinating."
"isiw ka haaput tabako iu nang? haaput ka baxa isiw, isiw na nang liaka yaku haaput hazing kaidi daan.",「你要斗笠還是不要？要的話給你，你如果不要，我就丟在路上。」,hau maazukas eezan iu ana kai ima angunay maa maa haaput iu ana xababay liaki panomu.
isiw na maahan yaku ka yaku nang a maki isiw mukawas.,「你如果騙我，我就不要跟你講話。」,"isiw ka tulala yaku, yaku iu nang a maki isiw mukawas."
yaku tahayak azawzaw haka yaku nang a mukukusa.,「我很累，所以我不想工作。」,yaku tahayak ka haka yaku nang a mukukusa.
meken dahu liaka baget taating lia.,「（我）吃很多，然後變胖一些了。」,mameken dahu haki eezaw lia.
yami akhéhén mukusa mutahan pai liaka aba mahabay.,「我們小孩去賺錢了，父親很舒服。」,"yami a akhéhén mukusa mamas, apu masyan mamohaw."
"isiw mayaw mudawan, ana midem.",「你還沒洗澡，別睡覺。」,"isiw mayaw mudawan, ana midem."
"ini mahabay haki yaku, nang a mukusa mukukusa.",「我不舒服，不想去工作。」,"nang a maali, nang a ukus mukusa sumay daawan."
hakezeng liaka hazian lia.,「老了不好了。」,mataas haapita lia.
hazian lia ki yaku a punu.,「我的頭腦不好了。」,yaku a ati mainem lia.
ohoni mudan liaka yaku nang a mukusa mikita umama.,「現在下雨了，我不想去看田。」,"ohoni mudan lia, yaku ini mausay mukusa mikita umama."
yaku tahayak azawzaw haka yaku nang a mukukusa.,「我很累所以我不想工作。」,yaku tahayak azawzaw haka yaku nang a mukukusa.
mataw a mulaliw liaka mauit liaki humak.,「大地震，房子倒了。」,"hayan maitu musinaw, hipekaw a balu lia."
"imini a saw dahu a pai, kulaka ini mahabay a hinis.",「這個人很多錢，但心情不舒服。」,"imini a saw maahu a pai, alaw lubak iu."
"imu haaput tumala Kaxabu a ahan, kulaka Kaxabu a ahan ka sazian a tumala.",「你們想要聽噶哈巫話，但噶哈巫的話不好聽。」,"nisiw haaput mikita kaxabu a ahanu a alixikit, maarut a alixikit a ahanu a alixikit."
"kahuy ka ini halupas, patakan ka halupas, kulaka patakan ka taating eezaw, kahuy ka mataw taating.",「樹不長，竹子長，但是竹子一點點而已，而樹大一些。」,"kaanan maahoni, irupu maahadi, alu irupu maahadi ngali, iu kaanan a haapuxax."
"haaput mubaiw selem kula, ini masu pai.",「想要買豬肉，但是沒帶錢。」,"haisa mubaiw babakun, iu haka ini mahazak a pai."
"haaput meken sumay kula, yaku a tian ka asikit azawzaw liaka nang a meken lia.",「想要吃飯，但我的肚子很痛，所以不要吃飯了。」,"axaxum meken sumay, mamuku yaku a ulun, selem meken sumay lia."
"imu ka haaput mupuza yaku a humak mikita yaku, kulaka yaku hazian a buxu.",「你們喜歡來我的家看我，但我身體不好。」,"nisiw ka haaput mupuunay yaku a umah, alah yaku a saan."
"yaku ka nahaza dusa a akhéhén, imisiw ka tuu a akhéhén.",「我有兩個小孩，他有三個小孩。」,"yaku nahaza dusa a akhéhén, imisiw a iu hala dusa a akhéhén."
"yaku ka malaleng kaidi sianglukus, imisiw ka malaleng kaidi baisia.",「我住在守城，他住在牛眠。」,yaku ka malaleng kaidi shieng a siukusum.
"yaku ka malaleng kaidi sianglukus, iu imisiw ka malaleng kaidi baisia.",「我住在守城，他住在牛眠。」,"yaku malalang kaidi shisemaleng, imisiw malalang kaidi biname."
"yaku a aba ka haaput meken tana, iu yaku a ina ka haaput meken hapus.",「我的父親喜歡吃刺蔥，而我的母親喜歡吃青苔。」,"yaku a aba ka haaput meken tajuk, iu yaku a ina ka haaput meken ita."
"atun a aba ka kizi meken sumay, iu atun ka mituku meken sumay.",「Atun 的父親站著吃飯，而 Atun 坐著吃飯。」,"atun ka aba mikita meken sumay, iu atun mikita meken sumay."
yaku a ina iu puihiat lia.,「我的母親也死了。」,yaku a ina iu eezaw lia.
yaku mubaza sawan iu nahaza udan.,「我知道明天也有雨。」,yaku mubasa haiméza wazu udan.
atun iu maaisiay kizi meken sumay.,「Atun 也一樣站著吃飯。」,atun iu iahah malalum meken sumay.
"atun nahaza saanu mukukusa, iu kunay iu nahaza saanu mukukusa.",「Atun 有可以工作，而 Kunay 也有可以工作。」,"atun nahaza saanu mukukusa, iu kunay paka nahaza saanu mukukusa."
"atun mukusa binayu madu tilikas, iu kunay iu mukusa binayu madu tilikas.",「Atun 去山上放陷阱，而 Kunay 也去山上放陷阱。」,"atun mukusa baxa batu duluu, eza kunay ikut mukusa baxa batu duluu."
yaku iu mama mukusa binayu.,「我和哥哥去山上。」,yaku iu mama mukusa binayu.
yaku maki mama mukusa binayu.,「我跟哥哥去山上。」,yaku maki mama mukusa binayu.
